name,SENTIMENT_EXTREME,WORD_COUNT_MIN,WORD_COUNT_MAX,ADJ_NOUN_RATIO,FIRST_PERSON_RATIO,SPAM_KEYWORD_MIN,CAPS_RATIO_MAX,EXCESSIVE_PUNCT_MIN,UNIQUENESS_RATIO_MIN,accuracy,precision,recall,f1_score,true_positives,false_positives,true_negatives,false_negatives,total_samples
Stage1_113,0.95,10,200,2.5,0.15,3,0.2,3,0.6,0.56,0.625,0.3,0.4054054054054054,15,9,41,35,100
Stage1_116,0.95,10,200,3.0,0.15,3,0.2,3,0.6,0.56,0.625,0.3,0.4054054054054054,15,9,41,35,100
Stage1_117,0.95,10,200,3.0,0.2,3,0.2,3,0.6,0.56,0.625,0.3,0.4054054054054054,15,9,41,35,100
Stage1_103,0.9,20,200,2.5,0.1,3,0.2,3,0.6,0.55,0.5609756097560976,0.46,0.5054945054945056,23,18,32,27,100
Stage1_106,0.9,20,200,3.0,0.1,3,0.2,3,0.6,0.55,0.5609756097560976,0.46,0.5054945054945056,23,18,32,27,100
Stage1_91,0.9,15,200,2.0,0.1,3,0.2,3,0.6,0.54,0.55,0.44,0.48888888888888893,22,18,32,28,100
Stage1_82,0.9,10,200,2.0,0.1,3,0.2,3,0.6,0.54,0.55,0.44,0.48888888888888893,22,18,32,28,100
Stage1_92,0.9,15,200,2.0,0.15,3,0.2,3,0.6,0.53,0.5384615384615384,0.42,0.4719101123595505,21,18,32,29,100
Stage1_85,0.9,10,200,2.5,0.1,3,0.2,3,0.6,0.53,0.5384615384615384,0.42,0.4719101123595505,21,18,32,29,100
Stage1_102,0.9,20,200,2.0,0.2,3,0.2,3,0.6,0.53,0.5384615384615384,0.42,0.4719101123595505,21,18,32,29,100
Stage1_88,0.9,10,200,3.0,0.1,3,0.2,3,0.6,0.53,0.5384615384615384,0.42,0.4719101123595505,21,18,32,29,100
Stage1_94,0.9,15,200,2.5,0.1,3,0.2,3,0.6,0.53,0.5384615384615384,0.42,0.4719101123595505,21,18,32,29,100
Stage1_44,0.8,15,200,3.0,0.15,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_46,0.8,20,200,2.0,0.1,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_47,0.8,20,200,2.0,0.15,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_40,0.8,15,200,2.5,0.1,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_41,0.8,15,200,2.5,0.15,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_42,0.8,15,200,2.5,0.2,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_43,0.8,15,200,3.0,0.1,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_31,0.8,10,200,2.5,0.1,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_30,0.8,10,200,2.0,0.2,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_29,0.8,10,200,2.0,0.15,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_28,0.8,10,200,2.0,0.1,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_36,0.8,10,200,3.0,0.2,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_49,0.8,20,200,2.5,0.1,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_38,0.8,15,200,2.0,0.15,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_39,0.8,15,200,2.0,0.2,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_35,0.8,10,200,3.0,0.15,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_34,0.8,10,200,3.0,0.1,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_33,0.8,10,200,2.5,0.2,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_32,0.8,10,200,2.5,0.15,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_48,0.8,20,200,2.0,0.2,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_37,0.8,15,200,2.0,0.1,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_97,0.9,15,200,3.0,0.1,3,0.2,3,0.6,0.53,0.5384615384615384,0.42,0.4719101123595505,21,18,32,29,100
Stage1_93,0.9,15,200,2.0,0.2,3,0.2,3,0.6,0.53,0.5384615384615384,0.42,0.4719101123595505,21,18,32,29,100
Stage1_83,0.9,10,200,2.0,0.15,3,0.2,3,0.6,0.53,0.5384615384615384,0.42,0.4719101123595505,21,18,32,29,100
Stage1_84,0.9,10,200,2.0,0.2,3,0.2,3,0.6,0.53,0.5384615384615384,0.42,0.4719101123595505,21,18,32,29,100
Stage1_73,0.85,20,200,2.0,0.1,3,0.2,3,0.6,0.53,0.5306122448979592,0.52,0.5252525252525252,26,23,27,24,100
Stage1_45,0.8,15,200,3.0,0.2,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_52,0.8,20,200,3.0,0.1,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_101,0.9,20,200,2.0,0.15,3,0.2,3,0.6,0.53,0.5384615384615384,0.42,0.4719101123595505,21,18,32,29,100
Stage1_50,0.8,20,200,2.5,0.15,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_51,0.8,20,200,2.5,0.2,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_54,0.8,20,200,3.0,0.2,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_53,0.8,20,200,3.0,0.15,3,0.2,3,0.6,0.53,0.5263157894736842,0.6,0.5607476635514018,30,27,23,20,100
Stage1_1,0.75,10,200,2.0,0.1,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_87,0.9,10,200,2.5,0.2,3,0.2,3,0.6,0.52,0.5263157894736842,0.4,0.45454545454545453,20,18,32,30,100
Stage1_86,0.9,10,200,2.5,0.15,3,0.2,3,0.6,0.52,0.5263157894736842,0.4,0.45454545454545453,20,18,32,30,100
Stage1_79,0.85,20,200,3.0,0.1,3,0.2,3,0.6,0.52,0.5208333333333334,0.5,0.5102040816326531,25,23,27,25,100
Stage1_89,0.9,10,200,3.0,0.15,3,0.2,3,0.6,0.52,0.5263157894736842,0.4,0.45454545454545453,20,18,32,30,100
Stage1_90,0.9,10,200,3.0,0.2,3,0.2,3,0.6,0.52,0.5263157894736842,0.4,0.45454545454545453,20,18,32,30,100
Stage1_76,0.85,20,200,2.5,0.1,3,0.2,3,0.6,0.52,0.5208333333333334,0.5,0.5102040816326531,25,23,27,25,100
Stage1_9,0.75,10,200,3.0,0.2,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_10,0.75,15,200,2.0,0.1,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_11,0.75,15,200,2.0,0.15,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_8,0.75,10,200,3.0,0.15,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_23,0.75,20,200,2.5,0.15,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_2,0.75,10,200,2.0,0.15,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_3,0.75,10,200,2.0,0.2,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_4,0.75,10,200,2.5,0.1,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_5,0.75,10,200,2.5,0.15,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_6,0.75,10,200,2.5,0.2,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_7,0.75,10,200,3.0,0.1,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_15,0.75,15,200,2.5,0.2,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_26,0.75,20,200,3.0,0.15,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_27,0.75,20,200,3.0,0.2,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_24,0.75,20,200,2.5,0.2,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_12,0.75,15,200,2.0,0.2,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_13,0.75,15,200,2.5,0.1,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_25,0.75,20,200,3.0,0.1,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_19,0.75,20,200,2.0,0.1,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_16,0.75,15,200,3.0,0.1,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_17,0.75,15,200,3.0,0.15,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_18,0.75,15,200,3.0,0.2,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_21,0.75,20,200,2.0,0.2,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_20,0.75,20,200,2.0,0.15,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_22,0.75,20,200,2.5,0.1,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_14,0.75,15,200,2.5,0.15,3,0.2,3,0.6,0.52,0.5166666666666667,0.62,0.5636363636363637,31,29,21,19,100
Stage1_96,0.9,15,200,2.5,0.2,3,0.2,3,0.6,0.52,0.5263157894736842,0.4,0.45454545454545453,20,18,32,30,100
Stage1_99,0.9,15,200,3.0,0.2,3,0.2,3,0.6,0.52,0.5263157894736842,0.4,0.45454545454545453,20,18,32,30,100
Stage1_95,0.9,15,200,2.5,0.15,3,0.2,3,0.6,0.52,0.5263157894736842,0.4,0.45454545454545453,20,18,32,30,100
Stage1_107,0.9,20,200,3.0,0.15,3,0.2,3,0.6,0.52,0.5263157894736842,0.4,0.45454545454545453,20,18,32,30,100
Stage1_105,0.9,20,200,2.5,0.2,3,0.2,3,0.6,0.52,0.5263157894736842,0.4,0.45454545454545453,20,18,32,30,100
Stage1_104,0.9,20,200,2.5,0.15,3,0.2,3,0.6,0.52,0.5263157894736842,0.4,0.45454545454545453,20,18,32,30,100
Stage1_98,0.9,15,200,3.0,0.15,3,0.2,3,0.6,0.52,0.5263157894736842,0.4,0.45454545454545453,20,18,32,30,100
Stage1_108,0.9,20,200,3.0,0.2,3,0.2,3,0.6,0.52,0.5263157894736842,0.4,0.45454545454545453,20,18,32,30,100
Stage1_64,0.85,15,200,2.0,0.1,3,0.2,3,0.6,0.51,0.5106382978723404,0.48,0.49484536082474223,24,23,27,26,100
Stage1_55,0.85,10,200,2.0,0.1,3,0.2,3,0.6,0.51,0.5106382978723404,0.48,0.49484536082474223,24,23,27,26,100
Stage1_58,0.85,10,200,2.5,0.1,3,0.2,3,0.6,0.5,0.5,0.46,0.4791666666666667,23,23,27,27,100
Stage1_66,0.85,15,200,2.0,0.2,3,0.2,3,0.6,0.5,0.5,0.46,0.4791666666666667,23,23,27,27,100
Stage1_67,0.85,15,200,2.5,0.1,3,0.2,3,0.6,0.5,0.5,0.46,0.4791666666666667,23,23,27,27,100
Stage1_56,0.85,10,200,2.0,0.15,3,0.2,3,0.6,0.5,0.5,0.46,0.4791666666666667,23,23,27,27,100
Stage1_65,0.85,15,200,2.0,0.15,3,0.2,3,0.6,0.5,0.5,0.46,0.4791666666666667,23,23,27,27,100
Stage1_57,0.85,10,200,2.0,0.2,3,0.2,3,0.6,0.5,0.5,0.46,0.4791666666666667,23,23,27,27,100
Stage1_70,0.85,15,200,3.0,0.1,3,0.2,3,0.6,0.5,0.5,0.46,0.4791666666666667,23,23,27,27,100
Stage1_74,0.85,20,200,2.0,0.15,3,0.2,3,0.6,0.5,0.5,0.46,0.4791666666666667,23,23,27,27,100
Stage1_75,0.85,20,200,2.0,0.2,3,0.2,3,0.6,0.5,0.5,0.46,0.4791666666666667,23,23,27,27,100
Stage1_61,0.85,10,200,3.0,0.1,3,0.2,3,0.6,0.5,0.5,0.46,0.4791666666666667,23,23,27,27,100
Stage1_71,0.85,15,200,3.0,0.15,3,0.2,3,0.6,0.49,0.4888888888888889,0.44,0.4631578947368421,22,23,27,28,100
Stage1_69,0.85,15,200,2.5,0.2,3,0.2,3,0.6,0.49,0.4888888888888889,0.44,0.4631578947368421,22,23,27,28,100
Stage1_78,0.85,20,200,2.5,0.2,3,0.2,3,0.6,0.49,0.4888888888888889,0.44,0.4631578947368421,22,23,27,28,100
Stage1_68,0.85,15,200,2.5,0.15,3,0.2,3,0.6,0.49,0.4888888888888889,0.44,0.4631578947368421,22,23,27,28,100
Stage1_81,0.85,20,200,3.0,0.2,3,0.2,3,0.6,0.49,0.4888888888888889,0.44,0.4631578947368421,22,23,27,28,100
Stage1_77,0.85,20,200,2.5,0.15,3,0.2,3,0.6,0.49,0.4888888888888889,0.44,0.4631578947368421,22,23,27,28,100
Stage1_80,0.85,20,200,3.0,0.15,3,0.2,3,0.6,0.49,0.4888888888888889,0.44,0.4631578947368421,22,23,27,28,100
Stage1_72,0.85,15,200,3.0,0.2,3,0.2,3,0.6,0.49,0.4888888888888889,0.44,0.4631578947368421,22,23,27,28,100
Stage1_60,0.85,10,200,2.5,0.2,3,0.2,3,0.6,0.49,0.4888888888888889,0.44,0.4631578947368421,22,23,27,28,100
Stage1_62,0.85,10,200,3.0,0.15,3,0.2,3,0.6,0.49,0.4888888888888889,0.44,0.4631578947368421,22,23,27,28,100
Stage1_63,0.85,10,200,3.0,0.2,3,0.2,3,0.6,0.49,0.4888888888888889,0.44,0.4631578947368421,22,23,27,28,100
Stage1_59,0.85,10,200,2.5,0.15,3,0.2,3,0.6,0.49,0.4888888888888889,0.44,0.4631578947368421,22,23,27,28,100
